Vertices,Edges_Prob,Max_Weight,Ops_Count,Tested_Solutions,Search_Time
5,0.125,39,6,1,5.6743621826171875e-05
5,0.25,40,6,1,1.8596649169921875e-05
5,0.5,61,9,1,2.0503997802734375e-05
5,0.75,61,12,1,2.2649765014648438e-05
6,0.125,35,7,1,3.0279159545898438e-05
6,0.25,46,7,1,1.7404556274414062e-05
6,0.5,68,9,1,1.8835067749023438e-05
6,0.75,89,12,1,3.314018249511719e-05
7,0.125,59,8,1,2.09808349609375e-05
7,0.25,59,11,1,2.5510787963867188e-05
7,0.5,80,15,1,2.8133392333984375e-05
7,0.75,85,20,1,2.9802322387695312e-05
8,0.125,59,10,1,2.2411346435546875e-05
8,0.25,80,13,1,2.3365020751953125e-05
8,0.5,99,15,1,3.457069396972656e-05
8,0.75,117,24,1,4.649162292480469e-05
9,0.125,73,10,1,2.5033950805664062e-05
9,0.25,94,13,1,2.86102294921875e-05
9,0.5,114,22,1,4.57763671875e-05
9,0.75,135,22,1,5.53131103515625e-05
10,0.125,55,13,1,3.0517578125e-05
10,0.25,88,18,1,3.719329833984375e-05
10,0.5,114,25,1,5.269050598144531e-05
10,0.75,141,43,1,8.749961853027344e-05
11,0.125,76,14,1,4.220008850097656e-05
11,0.25,88,20,1,4.3392181396484375e-05
11,0.5,114,26,1,5.5789947509765625e-05
11,0.75,164,59,1,0.00011849403381347656
12,0.125,88,19,1,4.0531158447265625e-05
12,0.25,95,23,1,5.14984130859375e-05
12,0.5,114,33,1,6.914138793945312e-05
12,0.75,177,68,1,0.00014853477478027344
13,0.125,80,15,1,4.100799560546875e-05
13,0.25,80,22,1,5.14984130859375e-05
13,0.5,119,49,1,9.965896606445312e-05
13,0.75,157,85,1,0.00019598007202148438
14,0.125,80,18,1,5.841255187988281e-05
14,0.25,89,26,1,6.699562072753906e-05
14,0.5,104,48,1,0.00010633468627929688
14,0.75,197,87,1,0.0002613067626953125
15,0.125,66,22,1,7.390975952148438e-05
15,0.25,94,34,1,9.512901306152344e-05
15,0.5,119,55,1,0.0001671314239501953
15,0.75,179,101,1,0.0003361701965332031
16,0.125,91,21,1,0.00014257431030273438
16,0.25,97,31,1,9.632110595703125e-05
16,0.5,133,74,1,0.0001990795135498047
16,0.75,226,160,1,0.0005249977111816406
17,0.125,123,21,1,7.367134094238281e-05
17,0.25,123,26,1,8.177757263183594e-05
17,0.5,152,64,1,0.0001685619354248047
17,0.75,219,103,1,0.0003037452697753906
18,0.125,76,27,1,9.5367431640625e-05
18,0.25,129,34,1,0.0001232624053955078
18,0.5,155,84,1,0.0002465248107910156
18,0.75,185,119,1,0.0003764629364013672
19,0.125,74,31,1,0.00011873245239257812
19,0.25,100,46,1,0.00017452239990234375
19,0.5,132,122,1,0.00036072731018066406
19,0.75,191,225,1,0.0007002353668212891
20,0.125,85,28,1,0.0001494884490966797
20,0.25,90,47,1,0.0001499652862548828
20,0.5,154,99,1,0.0003044605255126953
20,0.75,195,346,1,0.0010330677032470703
21,0.125,85,30,1,0.00010609626770019531
21,0.25,85,56,1,0.00015473365783691406
21,0.5,140,131,1,0.00038170814514160156
21,0.75,205,308,1,0.0008780956268310547
22,0.125,83,36,1,0.0001327991485595703
22,0.25,104,62,1,0.0001823902130126953
22,0.5,169,144,1,0.0004076957702636719
22,0.75,234,346,1,0.00112152099609375
23,0.125,97,30,1,0.00012731552124023438
23,0.25,123,46,1,0.00017070770263671875
23,0.5,172,119,1,0.00044417381286621094
23,0.75,243,309,1,0.0010781288146972656
24,0.125,87,47,1,0.0001785755157470703
24,0.25,123,62,1,0.0002193450927734375
24,0.5,149,156,1,0.0005075931549072266
24,0.75,216,402,1,0.001528024673461914
25,0.125,96,38,1,0.0001704692840576172
25,0.25,107,83,1,0.00026416778564453125
25,0.5,176,167,1,0.0005824565887451172
25,0.75,233,381,1,0.0014340877532958984
26,0.125,118,42,1,0.0002143383026123047
26,0.25,123,75,1,0.0003147125244140625
26,0.5,172,220,1,0.0007812976837158203
26,0.75,255,615,1,0.002298593521118164
27,0.125,104,43,1,0.00035643577575683594
27,0.25,104,80,1,0.00031065940856933594
27,0.5,155,203,1,0.0006451606750488281
27,0.75,246,379,1,0.0016443729400634766
28,0.125,102,46,1,0.00023055076599121094
28,0.25,104,75,1,0.0003314018249511719
28,0.5,172,223,1,0.0007445812225341797
28,0.75,295,411,1,0.001739501953125
29,0.125,102,48,1,0.00023818016052246094
29,0.25,126,80,1,0.0003650188446044922
29,0.5,179,243,1,0.0008549690246582031
29,0.75,275,627,1,0.0025980472564697266
30,0.125,113,52,1,0.00026988983154296875
30,0.25,139,78,1,0.00031495094299316406
30,0.5,197,240,1,0.0008563995361328125
30,0.75,276,1021,1,0.004381895065307617
