Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
5                             0.125                         41                            5                             1                             4.1961669921875e-05
5                             0.25                          44                            6                             1                             1.52587890625e-05
5                             0.5                           68                            8                             1                             1.430511474609375e-05
5                             0.75                          68                            9                             1                             1.3589859008789062e-05
6                             0.125                         44                            7                             1                             1.3113021850585938e-05
6                             0.25                          44                            7                             1                             1.2159347534179688e-05
6                             0.5                           77                            11                            1                             1.6689300537109375e-05
6                             0.75                          80                            13                            1                             1.8596649169921875e-05
7                             0.125                         53                            9                             1                             1.52587890625e-05
7                             0.25                          57                            11                            1                             1.6689300537109375e-05
7                             0.5                           60                            16                            1                             2.3603439331054688e-05
7                             0.75                          68                            17                            1                             2.7418136596679688e-05
8                             0.125                         59                            11                            1                             2.09808349609375e-05
8                             0.25                          69                            14                            1                             2.6702880859375e-05
8                             0.5                           71                            16                            1                             2.5987625122070312e-05
8                             0.75                          84                            22                            1                             3.552436828613281e-05
9                             0.125                         57                            10                            1                             2.2649765014648438e-05
9                             0.25                          60                            13                            1                             2.7179718017578125e-05
9                             0.5                           77                            14                            1                             2.956390380859375e-05
9                             0.75                          88                            25                            1                             4.8160552978515625e-05
10                            0.125                         41                            10                            1                             2.6464462280273438e-05
10                            0.25                          69                            12                            1                             3.24249267578125e-05
10                            0.5                           81                            16                            1                             3.5762786865234375e-05
10                            0.75                          102                           24                            1                             4.8160552978515625e-05
11                            0.125                         41                            11                            1                             3.4809112548828125e-05
11                            0.25                          54                            14                            1                             3.4332275390625e-05
11                            0.5                           70                            17                            1                             3.814697265625e-05
11                            0.75                          113                           38                            1                             6.580352783203125e-05
12                            0.125                         41                            12                            1                             3.5762786865234375e-05
12                            0.25                          65                            14                            1                             3.695487976074219e-05
12                            0.5                           96                            31                            1                             6.341934204101562e-05
12                            0.75                          142                           37                            1                             7.343292236328125e-05
13                            0.125                         45                            14                            1                             3.9577484130859375e-05
13                            0.25                          74                            17                            1                             4.458427429199219e-05
13                            0.5                           103                           24                            1                             5.7220458984375e-05
13                            0.75                          121                           50                            1                             0.00012159347534179688
14                            0.125                         46                            16                            1                             4.4345855712890625e-05
14                            0.25                          92                            18                            1                             5.14984130859375e-05
14                            0.5                           114                           27                            1                             6.747245788574219e-05
14                            0.75                          154                           59                            1                             0.00013566017150878906
15                            0.125                         46                            17                            1                             5.507469177246094e-05
15                            0.25                          79                            22                            1                             6.747245788574219e-05
15                            0.5                           95                            33                            1                             8.249282836914062e-05
15                            0.75                          141                           51                            1                             0.00013875961303710938
16                            0.125                         52                            21                            1                             6.628036499023438e-05
16                            0.25                          77                            26                            1                             7.581710815429688e-05
16                            0.5                           105                           38                            1                             9.72747802734375e-05
16                            0.75                          122                           65                            1                             0.00017118453979492188
17                            0.125                         64                            18                            1                             7.963180541992188e-05
17                            0.25                          79                            21                            1                             7.891654968261719e-05
17                            0.5                           118                           55                            1                             0.0001571178436279297
17                            0.75                          177                           81                            1                             0.0002474784851074219
18                            0.125                         64                            19                            1                             7.891654968261719e-05
18                            0.25                          64                            21                            1                             8.296966552734375e-05
18                            0.5                           96                            49                            1                             0.0001347064971923828
18                            0.75                          165                           100                           1                             0.0002856254577636719
19                            0.125                         65                            23                            1                             8.058547973632812e-05
19                            0.25                          72                            27                            1                             8.869171142578125e-05
19                            0.5                           109                           61                            1                             0.00016880035400390625
19                            0.75                          171                           109                           1                             0.00035119056701660156
20                            0.125                         65                            24                            1                             8.845329284667969e-05
20                            0.25                          79                            29                            1                             9.512901306152344e-05
20                            0.5                           133                           71                            1                             0.00020360946655273438
20                            0.75                          185                           100                           1                             0.0003342628479003906
21                            0.125                         64                            26                            1                             0.00010037422180175781
21                            0.25                          64                            34                            1                             0.00011682510375976562
21                            0.5                           132                           75                            1                             0.00021028518676757812
21                            0.75                          190                           153                           1                             0.0005447864532470703
22                            0.125                         64                            30                            1                             0.00011682510375976562
22                            0.25                          69                            43                            1                             0.0001347064971923828
22                            0.5                           120                           104                           1                             0.0003178119659423828
22                            0.75                          161                           235                           1                             0.0007305145263671875
23                            0.125                         64                            30                            1                             0.00011897087097167969
23                            0.25                          66                            45                            1                             0.00014734268188476562
23                            0.5                           135                           70                            1                             0.0002522468566894531
23                            0.75                          194                           231                           1                             0.0008096694946289062
24                            0.125                         64                            31                            1                             0.0001289844512939453
24                            0.25                          79                            39                            1                             0.0001533031463623047
24                            0.5                           125                           113                           1                             0.0003452301025390625
24                            0.75                          213                           206                           1                             0.0007965564727783203
