Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
5                             0.125                         39                            32                            32                            0.0001914501190185547
5                             0.25                          40                            33                            32                            7.128715515136719e-05
5                             0.5                           61                            49                            32                            0.00010824203491210938
5                             0.75                          61                            77                            32                            9.369850158691406e-05
6                             0.125                         35                            71                            64                            8.821487426757812e-05
6                             0.25                          46                            76                            64                            0.0001323223114013672
6                             0.5                           68                            116                           64                            0.000133514404296875
6                             0.75                          89                            179                           64                            0.0002181529998779297
7                             0.125                         59                            129                           128                           0.00020694732666015625
7                             0.25                          59                            148                           128                           0.0002753734588623047
7                             0.5                           80                            183                           128                           0.0003235340118408203
7                             0.75                          85                            295                           128                           0.00039458274841308594
8                             0.125                         59                            260                           256                           0.00031828880310058594
8                             0.25                          80                            332                           256                           0.0003559589385986328
8                             0.5                           99                            513                           256                           0.0005338191986083984
8                             0.75                          117                           767                           256                           0.0007448196411132812
9                             0.125                         73                            658                           512                           0.0006189346313476562
9                             0.25                          94                            691                           512                           0.0006024837493896484
9                             0.5                           114                           859                           512                           0.0007021427154541016
9                             0.75                          135                           1617                          512                           0.0011591911315917969
10                            0.125                         55                            1123                          1024                          0.0011334419250488281
10                            0.25                          88                            1165                          1024                          0.0011298656463623047
10                            0.5                           114                           1593                          1024                          0.0012900829315185547
10                            0.75                          141                           2327                          1024                          0.0014050006866455078
11                            0.125                         76                            2098                          2048                          0.0012993812561035156
11                            0.25                          88                            2183                          2048                          0.0011286735534667969
11                            0.5                           114                           3488                          2048                          0.0012462139129638672
11                            0.75                          164                           5903                          2048                          0.0017039775848388672
12                            0.125                         88                            4284                          4096                          0.0013170242309570312
12                            0.25                          95                            5020                          4096                          0.0011219978332519531
12                            0.5                           114                           6755                          4096                          0.00124359130859375
12                            0.75                          177                           10899                         4096                          0.0020563602447509766
13                            0.125                         80                            8424                          8192                          0.0020427703857421875
13                            0.25                          80                            10252                         8192                          0.0021927356719970703
13                            0.5                           119                           14257                         8192                          0.003206014633178711
13                            0.75                          157                           27591                         8192                          0.003971576690673828
14                            0.125                         80                            17434                         16384                         0.004479408264160156
14                            0.25                          89                            20155                         16384                         0.00544428825378418
14                            0.5                           104                           27080                         16384                         0.004969120025634766
14                            0.75                          197                           47015                         16384                         0.006816864013671875
15                            0.125                         66                            37858                         32768                         0.008790016174316406
15                            0.25                          94                            39769                         32768                         0.008695840835571289
15                            0.5                           119                           49652                         32768                         0.009740352630615234
15                            0.75                          179                           103643                        32768                         0.018444061279296875
16                            0.125                         91                            74520                         65536                         0.021635055541992188
16                            0.25                          97                            80935                         65536                         0.017651796340942383
16                            0.5                           133                           106750                        65536                         0.019527435302734375
16                            0.75                          226                           231182                        65536                         0.0306549072265625
17                            0.125                         123                           135422                        131072                        0.03377485275268555
17                            0.25                          123                           154196                        131072                        0.038648128509521484
17                            0.5                           152                           249037                        131072                        0.041829824447631836
17                            0.75                          219                           651830                        131072                        0.07405662536621094
18                            0.125                         76                            324860                        262144                        0.06991386413574219
18                            0.25                          129                           374774                        262144                        0.07241535186767578
18                            0.5                           155                           563109                        262144                        0.08815312385559082
18                            0.75                          185                           1559149                       262144                        0.1673727035522461
19                            0.125                         74                            575179                        524288                        0.15467333793640137
19                            0.25                          100                           635899                        524288                        0.1422889232635498
19                            0.5                           132                           810605                        524288                        0.16231322288513184
19                            0.75                          191                           1917335                       524288                        0.2386481761932373
20                            0.125                         85                            1337257                       1048576                       0.295382022857666
20                            0.25                          90                            1364604                       1048576                       0.3219451904296875
20                            0.5                           154                           2224386                       1048576                       0.36170434951782227
20                            0.75                          195                           5988555                       1048576                       0.6794936656951904
21                            0.125                         85                            2682503                       2097152                       0.613861083984375
21                            0.25                          85                            2762054                       2097152                       0.6042892932891846
21                            0.5                           140                           4284363                       2097152                       0.7303211688995361
21                            0.75                          205                           12270373                      2097152                       1.2843389511108398
22                            0.125                         83                            4898016                       4194304                       1.097170114517212
22                            0.25                          104                           5563088                       4194304                       1.1255085468292236
22                            0.5                           169                           10006738                      4194304                       1.46040940284729
22                            0.75                          234                           26046084                      4194304                       2.6291582584381104
23                            0.125                         97                            9166892                       8388608                       2.183048725128174
23                            0.25                          123                           9799291                       8388608                       2.2650578022003174
23                            0.5                           172                           16379518                      8388608                       2.641179084777832
23                            0.75                          243                           46126944                      8388608                       4.820207357406616
24                            0.125                         87                            19189783                      16777216                      4.459813117980957
24                            0.25                          123                           20361445                      16777216                      4.445729494094849
24                            0.5                           149                           27549982                      16777216                      5.057594060897827
24                            0.75                          216                           74432898                      16777216                      8.604799270629883
25                            0.125                         96                            39047189                      33554432                      8.947561740875244
25                            0.25                          107                           40908765                      33554432                      9.105111122131348
25                            0.5                           176                           65618107                      33554432                      10.908196926116943
25                            0.75                          233                           160557562                     33554432                      17.70872688293457
26                            0.125                         118                           76159019                      67108864                      17.732786178588867
26                            0.25                          123                           81477375                      67108864                      18.549453496932983
26                            0.5                           172                           104562872                     67108864                      20.138577461242676
26                            0.75                          255                           223310527                     67108864                      28.777379512786865
27                            0.125                         104                           167768773                     134217728                     37.281800985336304
27                            0.25                          104                           211964631                     134217728                     40.35491585731506
27                            0.5                           155                           243466935                     134217728                     42.99603056907654
27                            0.75                          246                           523859540                     134217728                     62.55250024795532
28                            0.125                         102                           321597879                     268435456                     72.75887560844421
28                            0.25                          104                           328499099                     268435456                     73.2895917892456
28                            0.5                           172                           639009648                     268435456                     96.77737665176392
28                            0.75                          295                           1227052582                    268435456                     137.39273619651794
