Vertices,Edges_Prob,Max_Weight,Ops_Count,Tested_Solutions,Search_Time
5,0.125,41,2,1,3.933906555175781e-05
5,0.25,44,4,1,1.5497207641601562e-05
5,0.5,68,11,1,1.7642974853515625e-05
5,0.75,68,13,1,1.621246337890625e-05
6,0.125,44,2,1,8.821487426757812e-06
6,0.25,44,4,1,1.0728836059570312e-05
6,0.5,77,14,1,1.7881393432617188e-05
6,0.75,80,30,1,2.5033950805664062e-05
7,0.125,53,3,1,9.5367431640625e-06
7,0.25,57,12,1,1.6927719116210938e-05
7,0.5,60,19,1,2.193450927734375e-05
7,0.75,68,30,1,2.765655517578125e-05
8,0.125,59,4,1,1.1444091796875e-05
8,0.25,69,13,1,1.7642974853515625e-05
8,0.5,71,22,1,2.574920654296875e-05
8,0.75,84,45,1,3.743171691894531e-05
9,0.125,57,7,1,1.4781951904296875e-05
9,0.25,60,15,1,2.09808349609375e-05
9,0.5,77,27,1,2.8371810913085938e-05
9,0.75,88,120,1,6.651878356933594e-05
10,0.125,41,8,1,1.6689300537109375e-05
10,0.25,69,12,1,1.9073486328125e-05
10,0.5,81,42,1,3.886222839355469e-05
10,0.75,102,97,1,6.389617919921875e-05
11,0.125,41,8,1,2.2172927856445312e-05
11,0.25,54,16,1,2.4080276489257812e-05
11,0.5,70,45,1,4.291534423828125e-05
11,0.75,113,141,1,8.058547973632812e-05
12,0.125,41,9,1,1.6927719116210938e-05
12,0.25,65,16,1,2.4557113647460938e-05
12,0.5,96,61,1,5.125999450683594e-05
12,0.75,142,203,1,0.00011682510375976562
13,0.125,45,9,1,2.3603439331054688e-05
13,0.25,74,19,1,3.314018249511719e-05
13,0.5,103,76,1,7.62939453125e-05
13,0.75,121,132,1,9.989738464355469e-05
14,0.125,46,10,1,2.2649765014648438e-05
14,0.25,92,26,1,3.5762786865234375e-05
14,0.5,114,66,1,6.270408630371094e-05
14,0.75,154,207,1,0.00013375282287597656
15,0.125,46,11,1,2.2649765014648438e-05
15,0.25,79,31,1,4.00543212890625e-05
15,0.5,95,84,1,7.772445678710938e-05
15,0.75,141,211,1,0.0001461505889892578
16,0.125,52,15,1,2.9087066650390625e-05
16,0.25,77,32,1,3.719329833984375e-05
16,0.5,105,111,1,8.368492126464844e-05
16,0.75,122,243,1,0.0001633167266845703
17,0.125,64,20,1,2.9802322387695312e-05
17,0.25,79,37,1,4.863739013671875e-05
17,0.5,118,124,1,0.00010037422180175781
17,0.75,177,333,1,0.00019311904907226562
18,0.125,64,21,1,3.0517578125e-05
18,0.25,64,32,1,4.1961669921875e-05
18,0.5,96,109,1,9.1552734375e-05
18,0.75,165,301,1,0.00018668174743652344
19,0.125,65,23,1,3.218650817871094e-05
19,0.25,72,41,1,5.0067901611328125e-05
19,0.5,109,112,1,9.942054748535156e-05
19,0.75,171,325,1,0.00020503997802734375
20,0.125,65,28,1,3.552436828613281e-05
20,0.25,79,48,1,5.435943603515625e-05
20,0.5,133,152,1,0.00011730194091796875
20,0.75,185,511,1,0.000270843505859375
21,0.125,64,27,1,3.790855407714844e-05
21,0.25,64,37,1,5.221366882324219e-05
21,0.5,132,176,1,0.0001316070556640625
21,0.75,190,547,1,0.00030875205993652344
22,0.125,64,30,1,4.4345855712890625e-05
22,0.25,69,50,1,6.413459777832031e-05
22,0.5,120,165,1,0.0001308917999267578
22,0.75,161,449,1,0.0002703666687011719
23,0.125,64,29,1,3.886222839355469e-05
23,0.25,66,53,1,6.508827209472656e-05
23,0.5,135,167,1,0.00014472007751464844
23,0.75,194,687,1,0.0003552436828613281
24,0.125,64,30,1,4.220008850097656e-05
24,0.25,79,50,1,6.771087646484375e-05
24,0.5,125,171,1,0.00015020370483398438
24,0.75,213,527,1,0.0003275871276855469
25,0.125,78,39,1,4.7206878662109375e-05
25,0.25,87,80,1,8.654594421386719e-05
25,0.5,153,222,1,0.00017833709716796875
25,0.75,254,697,1,0.00040030479431152344
26,0.125,85,34,1,5.3882598876953125e-05
26,0.25,97,69,1,8.249282836914062e-05
26,0.5,181,240,1,0.0002129077911376953
26,0.75,233,659,1,0.0004680156707763672
27,0.125,81,39,1,6.103515625e-05
27,0.25,103,76,1,9.059906005859375e-05
27,0.5,122,199,1,0.00019741058349609375
27,0.75,225,833,1,0.0004949569702148438
28,0.125,111,42,1,5.7220458984375e-05
28,0.25,111,77,1,9.608268737792969e-05
28,0.5,155,225,1,0.00021696090698242188
28,0.75,230,998,1,0.0005238056182861328
29,0.125,93,28,1,4.887580871582031e-05
29,0.25,124,91,1,0.000102996826171875
29,0.5,169,285,1,0.00023365020751953125
29,0.75,277,1204,1,0.0006227493286132812
30,0.125,116,48,1,6.151199340820312e-05
30,0.25,128,100,1,0.00010967254638671875
30,0.5,201,276,1,0.0002751350402832031
30,0.75,241,816,1,0.0005397796630859375
31,0.125,103,57,1,7.104873657226562e-05
31,0.25,111,107,1,0.00012230873107910156
31,0.5,164,288,1,0.0002455711364746094
31,0.75,267,1026,1,0.0006105899810791016
32,0.125,103,64,1,7.2479248046875e-05
32,0.25,106,98,1,0.00011587142944335938
32,0.5,181,302,1,0.00027441978454589844
32,0.75,267,902,1,0.0006132125854492188
33,0.125,96,61,1,7.748603820800781e-05
33,0.25,134,99,1,0.00012874603271484375
33,0.5,180,259,1,0.00025963783264160156
33,0.75,333,1612,1,0.0008339881896972656
34,0.125,94,64,1,8.0108642578125e-05
34,0.25,122,106,1,0.0001354217529296875
34,0.5,192,346,1,0.0003314018249511719
34,0.75,350,1317,1,0.0007572174072265625
35,0.125,99,51,1,7.605552673339844e-05
35,0.25,122,108,1,0.00013327598571777344
35,0.5,251,489,1,0.0003533363342285156
35,0.75,322,1398,1,0.0008280277252197266
36,0.125,94,60,1,8.320808410644531e-05
36,0.25,136,129,1,0.00014495849609375
36,0.5,189,336,1,0.0002980232238769531
36,0.75,321,1102,1,0.0006978511810302734
37,0.125,99,55,1,8.511543273925781e-05
37,0.25,166,119,1,0.0001518726348876953
37,0.5,216,387,1,0.00038552284240722656
37,0.75,323,1612,1,0.0009334087371826172
38,0.125,106,60,1,8.559226989746094e-05
38,0.25,166,129,1,0.0001704692840576172
38,0.5,204,388,1,0.00039958953857421875
38,0.75,348,1825,1,0.001033782958984375
39,0.125,99,69,1,0.00010085105895996094
39,0.25,154,155,1,0.0001723766326904297
39,0.5,199,379,1,0.0003800392150878906
39,0.75,360,1490,1,0.0009491443634033203
40,0.125,125,68,1,0.00010061264038085938
40,0.25,143,164,1,0.00019979476928710938
40,0.5,222,448,1,0.00042700767517089844
40,0.75,354,1288,1,0.0009248256683349609
41,0.125,125,81,1,0.00010991096496582031
41,0.25,173,176,1,0.00020241737365722656
