Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
5                             0.125                         39                            2                             1                             5.7697296142578125e-05
5                             0.25                          40                            3                             1                             1.5497207641601562e-05
5                             0.5                           61                            11                            1                             2.5033950805664062e-05
5                             0.75                          61                            15                            1                             2.47955322265625e-05
6                             0.125                         35                            2                             1                             2.6702880859375e-05
6                             0.25                          46                            5                             1                             1.3828277587890625e-05
6                             0.5                           68                            12                            1                             1.9073486328125e-05
6                             0.75                          89                            33                            1                             2.9802322387695312e-05
7                             0.125                         59                            3                             1                             1.1205673217773438e-05
7                             0.25                          59                            6                             1                             1.621246337890625e-05
7                             0.5                           80                            15                            1                             3.457069396972656e-05
7                             0.75                          85                            24                            1                             3.1948089599609375e-05
8                             0.125                         59                            5                             1                             1.430511474609375e-05
8                             0.25                          80                            11                            1                             2.09808349609375e-05
8                             0.5                           99                            22                            1                             3.0994415283203125e-05
8                             0.75                          117                           45                            1                             4.553794860839844e-05
9                             0.125                         73                            8                             1                             2.288818359375e-05
9                             0.25                          94                            14                            1                             3.552436828613281e-05
9                             0.5                           114                           38                            1                             4.839897155761719e-05
9                             0.75                          135                           83                            1                             7.081031799316406e-05
10                            0.125                         55                            8                             1                             1.9550323486328125e-05
10                            0.25                          88                            19                            1                             3.3855438232421875e-05
10                            0.5                           114                           45                            1                             4.935264587402344e-05
10                            0.75                          141                           91                            1                             7.891654968261719e-05
11                            0.125                         76                            7                             1                             2.47955322265625e-05
11                            0.25                          88                            18                            1                             4.315376281738281e-05
11                            0.5                           114                           40                            1                             8.535385131835938e-05
11                            0.75                          164                           121                           1                             0.00010800361633300781
12                            0.125                         88                            12                            1                             2.3603439331054688e-05
12                            0.25                          95                            22                            1                             4.935264587402344e-05
12                            0.5                           114                           54                            1                             7.271766662597656e-05
12                            0.75                          177                           158                           1                             0.0001308917999267578
13                            0.125                         80                            9                             1                             2.574920654296875e-05
13                            0.25                          80                            19                            1                             4.2438507080078125e-05
13                            0.5                           119                           70                            1                             8.535385131835938e-05
13                            0.75                          157                           116                           1                             0.00011754035949707031
14                            0.125                         80                            11                            1                             2.47955322265625e-05
14                            0.25                          89                            24                            1                             5.245208740234375e-05
14                            0.5                           104                           60                            1                             7.557868957519531e-05
14                            0.75                          197                           205                           1                             0.00018358230590820312
15                            0.125                         66                            15                            1                             2.9802322387695312e-05
15                            0.25                          94                            29                            1                             4.863739013671875e-05
15                            0.5                           119                           71                            1                             8.153915405273438e-05
15                            0.75                          179                           184                           1                             0.00017571449279785156
16                            0.125                         91                            21                            1                             3.910064697265625e-05
16                            0.25                          97                            34                            1                             5.1975250244140625e-05
16                            0.5                           133                           121                           1                             0.0001266002655029297
16                            0.75                          226                           320                           1                             0.00026535987854003906
17                            0.125                         123                           24                            1                             4.38690185546875e-05
17                            0.25                          123                           37                            1                             6.29425048828125e-05
17                            0.5                           152                           102                           1                             0.00013589859008789062
17                            0.75                          219                           342                           1                             0.00024390220642089844
18                            0.125                         76                            24                            1                             4.7206878662109375e-05
18                            0.25                          129                           56                            1                             7.390975952148438e-05
18                            0.5                           155                           149                           1                             0.00013327598571777344
18                            0.75                          185                           234                           1                             0.00019693374633789062
19                            0.125                         74                            19                            1                             4.1484832763671875e-05
19                            0.25                          100                           51                            1                             6.699562072753906e-05
19                            0.5                           129                           114                           1                             0.00012803077697753906
19                            0.75                          191                           354                           1                             0.0002524852752685547
